'S {9054 : 1 , 9056 : 1 , 9061 : 1 , 9068 : 1 , 9124 : 1 , 9126 : 1 , 9133 : 1 , 9142 : 1 , 9143 : 1 , 9174 : 1 , 9183 : 1 , 9202 : 1 , 9292 : 1 , 9377 : 1 , 9387 : 1 , 9424 : 1 , 9432 : 1 , 9434 : 1 , 9457 : 1 , 9493 : 1 , 9494 : 1 , 9495 : 1 , 9498 : 1 , 9501 : 1 , 9515 : 1 , 9524 : 1 , 9533 : 1 , 9595 : 1 , 9649 : 1 , 9665 : 1 , 9680 : 2 , 9686 : 1 , 9705 : 1 , } 
'bankrupt {9637 : 1 , } 
23 {9012 : 3 , 9035 : 1 , 9098 : 1 , 9169 : 1 , 9179 : 1 , 9221 : 1 , 9276 : 1 , 9378 : 1 , 9386 : 2 , 9401 : 1 , 9520 : 1 , 9521 : 1 , 9549 : 1 , 9642 : 1 , 9705 : 1 , } 
23,024 {9098 : 1 , } 
23,300,000 {9605 : 1 , } 
23,442 {9400 : 1 , } 
23.3 {9641 : 1 , } 
23.31 {9171 : 1 , } 
23.5 {9142 : 1 , } 
23.7 {9691 : 1 , } 
23.81 {9639 : 1 , } 
230 {9139 : 1 , 9209 : 1 , } 
230,000 {9274 : 1 , 9444 : 1 , 9647 : 1 , } 
232,275 {9702 : 1 , } 
233 {9650 : 1 , } 
233,983 {9106 : 1 , } 
233.2 {9311 : 1 , } 
235 {9560 : 1 , } 
237 {9607 : 1 , } 
238 {9160 : 1 , } 
239.4 {9311 : 1 , } 
23:08:37.69 {9695 : 1 , } 
23:10:06.55 {9696 : 1 , } 
23:22:41.08 {9126 : 1 , } 
23:28:00.08 {9697 : 1 , } 
23:32:44.59 {9698 : 1 , } 
23:33:48.99 {9699 : 1 , } 
23:36:26.82 {9700 : 1 , } 
23:43:04.41 {9127 : 1 , } 
23:44:33.00 {9701 : 1 , } 
24 {9001 : 1 , 9002 : 1 , 9003 : 1 , 9006 : 1 , 9007 : 1 , 9008 : 1 , 9009 : 1 , 9011 : 1 , 9012 : 1 , 9013 : 1 , 9014 : 1 , 9015 : 1 , 9016 : 1 , 9017 : 1 , 9018 : 1 , 9019 : 1 , 9020 : 1 , 9021 : 1 , 9022 : 1 , 9023 : 1 , 9024 : 1 , 9025 : 1 , 9026 : 1 , 9027 : 1 , 9029 : 1 , 9030 : 1 , 9031 : 1 , 9032 : 1 , 9033 : 2 , 9034 : 1 , 9035 : 2 , 9036 : 1 , 9037 : 1 , 9038 : 1 , 9040 : 1 , 9042 : 1 , 9043 : 1 , 9044 : 1 , 9045 : 1 , 9046 : 1 , 9047 : 1 , 9048 : 1 , 9049 : 1 , 9050 : 1 , 9051 : 1 , 9052 : 1 , 9053 : 1 , 9055 : 1 , 9056 : 1 , 9057 : 1 , 9058 : 1 , 9059 : 1 , 9060 : 1 , 9061 : 1 , 9062 : 1 , 9063 : 1 , 9064 : 1 , 9065 : 1 , 9066 : 1 , 9069 : 1 , 9070 : 1 , 9071 : 1 , 9072 : 1 , 9074 : 1 , 9075 : 1 , 9076 : 1 , 9077 : 1 , 9078 : 1 , 9079 : 1 , 9081 : 1 , 9082 : 1 , 9083 : 1 , 9084 : 1 , 9085 : 1 , 9086 : 1 , 9087 : 1 , 9088 : 1 , 9089 : 1 , 9090 : 1 , 9091 : 1 , 9092 : 1 , 9093 : 1 , 9094 : 1 , 9095 : 1 , 9096 : 1 , 9097 : 1 , 9098 : 1 , 9099 : 1 , 9100 : 1 , 9101 : 1 , 9102 : 1 , 9103 : 1 , 9104 : 1 , 9105 : 1 , 9106 : 1 , 9108 : 1 , 9109 : 1 , 9110 : 1 , 9111 : 1 , 9112 : 1 , 9113 : 1 , 9114 : 1 , 9115 : 1 , 9116 : 1 , 9117 : 1 , 9123 : 1 , 9155 : 1 , 9158 : 1 , 9167 : 1 , 9219 : 1 , 9238 : 1 , 9240 : 2 , 9269 : 1 , 9340 : 1 , 9368 : 1 , 9383 : 1 , 9427 : 1 , 9429 : 1 , 9438 : 1 , 9452 : 1 , 9464 : 1 , 9640 : 1 , 9666 : 1 , 9687 : 3 , 9690 : 1 , 9705 : 1 , } 
24,000 {9583 : 1 , } 
24,311 {9525 : 1 , } 
24,500 {9400 : 1 , } 
24,614,352 {9388 : 1 , } 
24-MAR-1987 {9001 : 1 , 9002 : 1 , 9003 : 1 , 9004 : 1 , 9005 : 1 , 9006 : 1 , 9007 : 1 , 9008 : 1 , 9009 : 1 , 9010 : 1 , 9011 : 1 , 9012 : 1 , 9013 : 1 , 9014 : 1 , 9015 : 1 , 9016 : 1 , 9017 : 1 , 9018 : 1 , 9019 : 1 , 9020 : 1 , 9021 : 1 , 9022 : 1 , 9023 : 1 , 9024 : 1 , 9025 : 1 , 9026 : 1 , 9027 : 1 , 9028 : 1 , 9029 : 1 , 9030 : 1 , 9031 : 1 , 9032 : 1 , 9033 : 1 , 9034 : 1 , 9035 : 1 , 9036 : 1 , 9037 : 1 , 9038 : 1 , 9039 : 1 , 9040 : 1 , 9041 : 1 , 9042 : 1 , 9043 : 1 , 9044 : 1 , 9045 : 1 , 9046 : 1 , 9047 : 1 , 9048 : 1 , 9049 : 1 , 9050 : 1 , 9051 : 1 , 9052 : 1 , 9053 : 1 , 9054 : 1 , 9055 : 1 , 9056 : 1 , 9057 : 1 , 9058 : 1 , 9059 : 1 , 9060 : 1 , 9061 : 1 , 9062 : 1 , 9063 : 1 , 9064 : 1 , 9065 : 1 , 9066 : 1 , 9067 : 1 , 9068 : 1 , 9069 : 1 , 9070 : 1 , 9071 : 1 , 9072 : 1 , 9073 : 1 , 9074 : 1 , 9075 : 1 , 9076 : 1 , 9077 : 1 , 9078 : 1 , 9079 : 1 , 9080 : 1 , 9081 : 1 , 9082 : 1 , 9083 : 1 , 9084 : 1 , 9085 : 1 , 9086 : 1 , 9087 : 1 , 9088 : 1 , 9089 : 1 , 9090 : 1 , 9091 : 1 , 9092 : 1 , 9093 : 1 , 9094 : 1 , 9095 : 1 , 9096 : 1 , 9097 : 1 , 9098 : 1 , 9099 : 1 , 9100 : 1 , 9101 : 1 , 9102 : 1 , 9103 : 1 , 9104 : 1 , 9105 : 1 , 9106 : 1 , 9107 : 1 , 9108 : 1 , 9109 : 1 , 9110 : 1 , 9111 : 1 , 9112 : 1 , 9113 : 1 , 9114 : 1 , 9115 : 1 , 9116 : 1 , 9117 : 1 , 9118 : 1 , 9119 : 1 , 9120 : 1 , 9121 : 1 , 9122 : 1 , 9123 : 1 , 9124 : 1 , 9125 : 1 , 9126 : 1 , 9127 : 1 , } 
24-hour {9292 : 1 , } 
24-week {9360 : 1 , } 
24.1 {9427 : 1 , } 
24.13 {9187 : 1 , } 
24.4 {9576 : 1 , } 
24.5p {9189 : 1 , } 
24.7 {9366 : 1 , } 
24.8 {9334 : 1 , } 
24.8p {9189 : 1 , } 
240 {9175 : 1 , } 
240.24 {9171 : 1 , } 
2400 {9246 : 1 , } 
241,000 {9615 : 1 , } 
245,405 {9702 : 1 , } 
248,200 {9639 : 1 , } 
25 {9030 : 1 , 9031 : 1 , 9040 : 1 , 9082 : 1 , 9091 : 1 , 9106 : 1 , 9107 : 1 , 9120 : 1 , 9124 : 1 , 9125 : 1 , 9126 : 1 , 9127 : 1 , 9129 : 1 , 9130 : 2 , 9133 : 1 , 9134 : 1 , 9135 : 1 , 9136 : 1 , 9138 : 1 , 9139 : 1 , 9140 : 1 , 9141 : 1 , 9142 : 1 , 9143 : 1 , 9144 : 1 , 9145 : 1 , 9146 : 1 , 9147 : 2 , 9149 : 1 , 9150 : 1 , 9151 : 1 , 9153 : 1 , 9154 : 1 , 9155 : 1 , 9156 : 2 , 9157 : 1 , 9158 : 1 , 9160 : 1 , 9161 : 1 , 9163 : 1 , 9164 : 2 , 9165 : 1 , 9166 : 1 , 9167 : 1 , 9168 : 1 , 9169 : 1 , 9170 : 1 , 9171 : 1 , 9172 : 1 , 9173 : 1 , 9174 : 2 , 9175 : 1 , 9176 : 1 , 9177 : 1 , 9178 : 1 , 9179 : 1 , 9180 : 1 , 9181 : 1 , 9182 : 1 , 9183 : 1 , 9184 : 1 , 9185 : 1 , 9186 : 2 , 9187 : 1 , 9188 : 1 , 9189 : 1 , 9190 : 1 , 9191 : 1 , 9192 : 1 , 9193 : 1 , 9194 : 1 , 9195 : 1 , 9196 : 1 , 9197 : 1 , 9198 : 1 , 9199 : 1 , 9200 : 1 , 9201 : 1 , 9202 : 1 , 9203 : 1 , 9204 : 1 , 9205 : 1 , 9206 : 1 , 9207 : 1 , 9208 : 2 , 9209 : 1 , 9210 : 1 , 9211 : 1 , 9212 : 1 , 9213 : 1 , 9214 : 1 , 9215 : 1 , 9216 : 1 , 9217 : 1 , 9218 : 1 , 9219 : 1 , 9220 : 1 , 9221 : 1 , 9222 : 1 , 9223 : 2 , 9224 : 1 , 9225 : 1 , 9226 : 1 , 9227 : 1 , 9228 : 1 , 9229 : 1 , 9230 : 1 , 9231 : 1 , 9232 : 1 , 9233 : 1 , 9234 : 1 , 9235 : 1 , 9236 : 1 , 9237 : 1 , 9238 : 1 , 9239 : 1 , 9241 : 1 , 9242 : 1 , 9244 : 1 , 9245 : 1 , 9246 : 1 , 9247 : 1 , 9248 : 1 , 9249 : 1 , 9250 : 1 , 9251 : 1 , 9252 : 1 , 9253 : 1 , 9254 : 1 , 9255 : 1 , 9256 : 1 , 9257 : 1 , 9258 : 2 , 9259 : 1 , 9260 : 1 , 9261 : 1 , 9262 : 1 , 9263 : 1 , 9265 : 1 , 9266 : 2 , 9267 : 1 , 9268 : 1 , 9270 : 1 , 9271 : 1 , 9272 : 1 , 9273 : 1 , 9274 : 1 , 9275 : 1 , 9276 : 1 , 9277 : 1 , 9278 : 1 , 9279 : 1 , 9280 : 1 , 9281 : 1 , 9283 : 1 , 9284 : 1 , 9285 : 1 , 9286 : 1 , 9287 : 1 , 9288 : 1 , 9289 : 1 , 9290 : 1 , 9291 : 1 , 9292 : 1 , 9293 : 1 , 9294 : 1 , 9295 : 1 , 9296 : 1 , 9297 : 1 , 9298 : 1 , 9299 : 1 , 9300 : 1 , 9301 : 1 , 9302 : 1 , 9303 : 1 , 9305 : 1 , 9306 : 1 , 9307 : 1 , 9309 : 1 , 9310 : 1 , 9311 : 1 , 9312 : 1 , 9313 : 1 , 9314 : 1 , 9315 : 1 , 9316 : 1 , 9317 : 1 , 9318 : 1 , 9319 : 1 , 9320 : 1 , 9321 : 1 , 9322 : 1 , 9323 : 1 , 9324 : 1 , 9325 : 1 , 9326 : 2 , 9327 : 1 , 9328 : 1 , 9329 : 1 , 9330 : 1 , 9331 : 1 , 9332 : 1 , 9333 : 1 , 9334 : 1 , 9335 : 1 , 9336 : 1 , 9337 : 1 , 9338 : 1 , 9339 : 1 , 9340 : 1 , 9341 : 1 , 9342 : 1 , 9343 : 1 , 9344 : 1 , 9345 : 1 , 9346 : 1 , 9347 : 1 , 9348 : 1 , 9349 : 1 , 9350 : 1 , 9351 : 1 , 9352 : 1 , 9353 : 1 , 9354 : 1 , 9355 : 1 , 9356 : 1 , 9358 : 1 , 9359 : 1 , 9360 : 1 , 9361 : 1 , 9362 : 1 , 9363 : 1 , 9364 : 1 , 9366 : 1 , 9367 : 1 , 9369 : 1 , 9370 : 1 , 9371 : 1 , 9372 : 1 , 9373 : 1 , 9374 : 1 , 9375 : 1 , 9376 : 1 , 9378 : 1 , 9379 : 1 , 9380 : 1 , 9381 : 1 , 9382 : 1 , 9383 : 1 , 9384 : 1 , 9385 : 1 , 9386 : 1 , 9387 : 1 , 9388 : 1 , 9389 : 1 , 9390 : 1 , 9391 : 1 , 9392 : 1 , 9393 : 1 , 9394 : 1 , 9395 : 1 , 9396 : 1 , 9398 : 1 , 9399 : 2 , 9400 : 1 , 9401 : 1 , 9402 : 1 , 9403 : 1 , 9404 : 1 , 9405 : 1 , 9406 : 1 , 9407 : 1 , 9408 : 1 , 9410 : 1 , 9411 : 1 , 9413 : 2 , 9414 : 1 , 9415 : 1 , 9416 : 1 , 9417 : 1 , 9418 : 1 , 9420 : 1 , 9421 : 1 , 9422 : 1 , 9423 : 1 , 9424 : 1 , 9425 : 1 , 9427 : 1 , 9428 : 1 , 9429 : 1 , 9431 : 1 , 9432 : 1 , 9433 : 2 , 9434 : 1 , 9436 : 2 , 9437 : 1 , 9438 : 1 , 9439 : 1 , 9440 : 1 , 9441 : 2 , 9442 : 1 , 9443 : 1 , 9444 : 1 , 9445 : 1 , 9446 : 1 , 9447 : 1 , 9448 : 2 , 9449 : 1 , 9450 : 1 , 9451 : 1 , 9452 : 1 , 9453 : 1 , 9454 : 1 , 9455 : 1 , 9456 : 1 , 9458 : 2 , 9459 : 1 , 9460 : 1 , 9462 : 1 , 9464 : 1 , 9465 : 1 , 9466 : 1 , 9467 : 1 , 9468 : 1 , 9470 : 1 , 9471 : 1 , 9472 : 1 , 9473 : 1 , 9474 : 1 , 9475 : 1 , 9476 : 1 , 9477 : 1 , 9478 : 1 , 9479 : 1 , 9480 : 1 , 9481 : 1 , 9482 : 1 , 9483 : 1 , 9484 : 2 , 9485 : 1 , 9486 : 1 , 9487 : 1 , 9488 : 2 , 9489 : 1 , 9490 : 1 , 9492 : 1 , 9496 : 1 , 9497 : 1 , 9498 : 1 , 9500 : 1 , 9501 : 1 , 9502 : 1 , 9503 : 1 , 9504 : 1 , 9505 : 1 , 9506 : 1 , 9507 : 1 , 9508 : 1 , 9509 : 1 , 9510 : 1 , 9512 : 1 , 9513 : 1 , 9514 : 1 , 9515 : 1 , 9517 : 1 , 9518 : 1 , 9519 : 1 , 9520 : 1 , 9521 : 1 , 9522 : 1 , 9523 : 1 , 9524 : 1 , 9525 : 1 , 9526 : 1 , 9527 : 1 , 9528 : 1 , 9530 : 1 , 9531 : 1 , 9532 : 1 , 9533 : 1 , 9535 : 1 , 9536 : 1 , 9537 : 2 , 9538 : 1 , 9539 : 1 , 9540 : 1 , 9541 : 2 , 9542 : 1 , 9543 : 1 , 9544 : 1 , 9545 : 1 , 9546 : 1 , 9547 : 1 , 9548 : 1 , 9550 : 1 , 9551 : 1 , 9552 : 1 , 9553 : 1 , 9555 : 1 , 9556 : 1 , 9557 : 1 , 9558 : 2 , 9559 : 1 , 9560 : 1 , 9561 : 1 , 9562 : 1 , 9563 : 1 , 9564 : 1 , 9566 : 1 , 9567 : 1 , 9568 : 1 , 9569 : 1 , 9570 : 1 , 9571 : 1 , 9572 : 1 , 9573 : 1 , 9576 : 1 , 9577 : 1 , 9578 : 1 , 9579 : 1 , 9580 : 1 , 9581 : 2 , 9582 : 1 , 9583 : 1 , 9584 : 1 , 9585 : 1 , 9587 : 1 , 9588 : 1 , 9589 : 1 , 9590 : 1 , 9591 : 1 , 9592 : 1 , 9593 : 1 , 9594 : 1 , 9596 : 1 , 9599 : 1 , 9601 : 3 , 9602 : 1 , 9603 : 1 , 9605 : 1 , 9606 : 1 , 9607 : 1 , 9608 : 1 , 9609 : 1 , 9610 : 1 , 9611 : 1 , 9612 : 1 , 9613 : 1 , 9615 : 1 , 9616 : 1 , 9617 : 1 , 9618 : 1 , 9619 : 1 , 9621 : 1 , 9622 : 1 , 9623 : 1 , 9624 : 1 , 9625 : 2 , 9627 : 1 , 9628 : 1 , 9629 : 1 , 9630 : 1 , 9631 : 1 , 9633 : 1 , 9634 : 1 , 9636 : 1 , 9637 : 1 , 9638 : 1 , 9639 : 2 , 9640 : 1 , 9641 : 1 , 9642 : 1 , 9643 : 1 , 9644 : 1 , 9645 : 1 , 9646 : 2 , 9647 : 1 , 9648 : 1 , 9649 : 1 , 9650 : 1 , 9651 : 1 , 9652 : 1 , 9653 : 1 , 9654 : 1 , 9655 : 1 , 9656 : 1 , 9657 : 1 , 9658 : 1 , 9659 : 1 , 9660 : 1 , 9661 : 1 , 9662 : 1 , 9663 : 1 , 9664 : 1 , 9665 : 1 , 9666 : 1 , 9667 : 1 , 9668 : 1 , 9669 : 1 , 9670 : 1 , 9671 : 1 , 9672 : 2 , 9673 : 3 , 9674 : 1 , 9676 : 1 , 9677 : 1 , 9678 : 1 , 9679 : 1 , 9680 : 1 , 9681 : 1 , 9682 : 1 , 9683 : 1 , 9684 : 1 , 9685 : 1 , 9687 : 1 , 9688 : 1 , 9689 : 1 , 9690 : 1 , 9692 : 1 , 9693 : 1 , 9694 : 1 , 9697 : 1 , 9704 : 1 , } 
25,000 {9374 : 2 , } 
25-1/8 {9043 : 1 , } 
25-26 {9658 : 1 , } 
25-MAR-1987 {9128 : 1 , 9129 : 1 , 9130 : 1 , 9131 : 1 , 9132 : 1 , 9133 : 1 , 9134 : 1 , 9135 : 1 , 9136 : 1 , 9137 : 1 , 9138 : 1 , 9139 : 1 , 9140 : 1 , 9141 : 1 , 9142 : 1 , 9143 : 1 , 9144 : 1 , 9145 : 1 , 9146 : 1 , 9147 : 1 , 9148 : 1 , 9149 : 1 , 9150 : 1 , 9151 : 1 , 9152 : 1 , 9153 : 1 , 9154 : 1 , 9155 : 1 , 9156 : 1 , 9157 : 1 , 9158 : 1 , 9159 : 1 , 9160 : 1 , 9161 : 1 , 9162 : 1 , 9163 : 1 , 9164 : 1 , 9165 : 1 , 9166 : 1 , 9167 : 1 , 9168 : 1 , 9169 : 1 , 9170 : 1 , 9171 : 1 , 9172 : 1 , 9173 : 1 , 9174 : 1 , 9175 : 1 , 9176 : 1 , 9177 : 1 , 9178 : 1 , 9179 : 1 , 9180 : 1 , 9181 : 1 , 9182 : 1 , 9183 : 1 , 9184 : 1 , 9185 : 1 , 9186 : 1 , 9187 : 1 , 9188 : 1 , 9189 : 1 , 9190 : 1 , 9191 : 1 , 9192 : 1 , 9193 : 1 , 9194 : 1 , 9195 : 1 , 9196 : 1 , 9197 : 1 , 9198 : 1 , 9199 : 1 , 9200 : 1 , 9201 : 1 , 9202 : 1 , 9203 : 1 , 9204 : 1 , 9205 : 1 , 9206 : 1 , 9207 : 1 , 9208 : 1 , 9209 : 1 , 9210 : 1 , 9211 : 1 , 9212 : 1 , 9213 : 1 , 9214 : 1 , 9215 : 1 , 9216 : 1 , 9217 : 1 , 9218 : 1 , 9219 : 1 , 9220 : 1 , 9221 : 1 , 9222 : 1 , 9223 : 1 , 9224 : 1 , 9225 : 1 , 9226 : 1 , 9227 : 1 , 9228 : 1 , 9229 : 1 , 9230 : 1 , 9231 : 1 , 9232 : 1 , 9233 : 1 , 9234 : 1 , 9235 : 1 , 9236 : 1 , 9237 : 1 , 9238 : 1 , 9239 : 1 , 9240 : 1 , 9241 : 1 , 9242 : 1 , 9243 : 1 , 9244 : 1 , 9245 : 1 , 9246 : 1 , 9247 : 1 , 9248 : 1 , 9249 : 1 , 9250 : 1 , 9251 : 1 , 9252 : 1 , 9253 : 1 , 9254 : 1 , 9255 : 1 , 9256 : 1 , 9257 : 1 , 9258 : 1 , 9259 : 1 , 9260 : 1 , 9261 : 1 , 9262 : 1 , 9263 : 1 , 9264 : 1 , 9265 : 1 , 9266 : 1 , 9267 : 1 , 9268 : 1 , 9269 : 1 , 9270 : 1 , 9271 : 1 , 9272 : 1 , 9273 : 1 , 9274 : 1 , 9275 : 1 , 9276 : 1 , 9277 : 1 , 9278 : 1 , 9279 : 1 , 9280 : 1 , 9281 : 1 , 9282 : 1 , 9283 : 1 , 9284 : 1 , 9285 : 1 , 9286 : 1 , 9287 : 1 , 9288 : 1 , 9289 : 1 , 9290 : 1 , 9291 : 1 , 9292 : 1 , 9293 : 1 , 9294 : 1 , 9295 : 1 , 9296 : 1 , 9297 : 1 , 9298 : 1 , 9299 : 1 , 9300 : 1 , 9301 : 1 , 9302 : 1 , 9303 : 1 , 9304 : 1 , 9305 : 1 , 9306 : 1 , 9307 : 1 , 9308 : 1 , 9309 : 1 , 9310 : 1 , 9311 : 1 , 9312 : 1 , 9313 : 1 , 9314 : 1 , 9315 : 1 , 9316 : 1 , 9317 : 1 , 9318 : 1 , 9319 : 1 , 9320 : 1 , 9321 : 1 , 9322 : 1 , 9323 : 1 , 9324 : 1 , 9325 : 1 , 9326 : 1 , 9327 : 1 , 9328 : 1 , 9329 : 1 , 9330 : 1 , 9331 : 1 , 9332 : 1 , 9333 : 1 , 9334 : 1 , 9335 : 1 , 9336 : 1 , 9337 : 1 , 9338 : 1 , 9339 : 1 , 9340 : 1 , 9341 : 1 , 9342 : 1 , 9343 : 1 , 9344 : 1 , 9345 : 1 , 9346 : 1 , 9347 : 1 , 9348 : 1 , 9349 : 1 , 9350 : 1 , 9351 : 1 , 9352 : 1 , 9353 : 1 , 9354 : 1 , 9355 : 1 , 9356 : 1 , 9357 : 1 , 9358 : 1 , 9359 : 1 , 9360 : 1 , 9361 : 1 , 9362 : 1 , 9363 : 1 , 9364 : 1 , 9365 : 1 , 9366 : 1 , 9367 : 1 , 9368 : 1 , 9369 : 1 , 9370 : 1 , 9371 : 1 , 9372 : 1 , 9373 : 1 , 9374 : 1 , 9375 : 1 , 9376 : 1 , 9377 : 1 , 9378 : 1 , 9379 : 1 , 9380 : 1 , 9381 : 1 , 9382 : 1 , 9383 : 1 , 9384 : 1 , 9385 : 1 , 9386 : 1 , 9387 : 1 , 9388 : 1 , 9389 : 1 , 9390 : 1 , 9391 : 1 , 9392 : 1 , 9393 : 1 , 9394 : 1 , 9395 : 1 , 9396 : 1 , 9397 : 1 , 9398 : 1 , 9399 : 1 , 9400 : 1 , 9401 : 1 , 9402 : 1 , 9403 : 1 , 9404 : 1 , 9405 : 1 , 9406 : 1 , 9407 : 1 , 9408 : 1 , 9409 : 1 , 9410 : 1 , 9411 : 1 , 9412 : 1 , 9413 : 1 , 9414 : 1 , 9415 : 1 , 9416 : 1 , 9417 : 1 , 9418 : 1 , 9419 : 1 , 9420 : 1 , 9421 : 1 , 9422 : 1 , 9423 : 1 , 9424 : 1 , 9425 : 1 , 9426 : 1 , 9427 : 1 , 9428 : 1 , 9429 : 1 , 9430 : 1 , 9431 : 1 , 9432 : 1 , 9433 : 1 , 9434 : 1 , 9435 : 1 , 9436 : 1 , 9437 : 1 , 9438 : 1 , 9439 : 1 , 9440 : 1 , 9441 : 1 , 9442 : 1 , 9443 : 1 , 9444 : 1 , 9445 : 1 , 9446 : 1 , 9447 : 1 , 9448 : 1 , 9449 : 1 , 9450 : 1 , 9451 : 1 , 9452 : 1 , 9453 : 1 , 9454 : 1 , 9455 : 1 , 9456 : 1 , 9457 : 1 , 9458 : 1 , 9459 : 1 , 9460 : 1 , 9461 : 1 , 9462 : 1 , 9463 : 1 , 9464 : 1 , 9465 : 1 , 9466 : 1 , 9467 : 1 , 9468 : 1 , 9469 : 1 , 9470 : 1 , 9471 : 1 , 9472 : 1 , 9473 : 1 , 9474 : 1 , 9475 : 1 , 9476 : 1 , 9477 : 1 , 9478 : 1 , 9479 : 1 , 9480 : 1 , 9481 : 1 , 9482 : 1 , 9483 : 1 , 9484 : 1 , 9485 : 1 , 9486 : 1 , 9487 : 1 , 9488 : 1 , 9489 : 1 , 9490 : 1 , 9491 : 1 , 9492 : 1 , 9493 : 1 , 9494 : 1 , 9495 : 1 , 9496 : 1 , 9497 : 1 , 9498 : 1 , 9499 : 1 , 9500 : 1 , 9501 : 1 , 9502 : 1 , 9503 : 1 , 9504 : 1 , 9505 : 1 , 9506 : 1 , 9507 : 1 , 9508 : 1 , 9509 : 1 , 9510 : 1 , 9511 : 1 , 9512 : 1 , 9513 : 1 , 9514 : 1 , 9515 : 1 , 9516 : 1 , 9517 : 1 , 9518 : 1 , 9519 : 1 , 9520 : 1 , 9521 : 1 , 9522 : 1 , 9523 : 1 , 9524 : 1 , 9525 : 1 , 9526 : 1 , 9527 : 1 , 9528 : 1 , 9529 : 1 , 9530 : 1 , 9531 : 1 , 9532 : 1 , 9533 : 1 , 9534 : 1 , 9535 : 1 , 9536 : 1 , 9537 : 1 , 9538 : 1 , 9539 : 1 , 9540 : 1 , 9541 : 1 , 9542 : 1 , 9543 : 1 , 9544 : 1 , 9545 : 1 , 9546 : 1 , 9547 : 1 , 9548 : 1 , 9549 : 1 , 9550 : 1 , 9551 : 1 , 9552 : 1 , 9553 : 1 , 9554 : 1 , 9555 : 1 , 9556 : 1 , 9557 : 1 , 9558 : 1 , 9559 : 1 , 9560 : 1 , 9561 : 1 , 9562 : 1 , 9563 : 1 , 9564 : 1 , 9565 : 1 , 9566 : 1 , 9567 : 1 , 9568 : 1 , 9569 : 1 , 9570 : 1 , 9571 : 1 , 9572 : 1 , 9573 : 1 , 9574 : 1 , 9575 : 1 , 9576 : 1 , 9577 : 1 , 9578 : 1 , 9579 : 1 , 9580 : 1 , 9581 : 1 , 9582 : 1 , 9583 : 1 , 9584 : 1 , 9585 : 1 , 9586 : 1 , 9587 : 1 , 9588 : 1 , 9589 : 1 , 9590 : 1 , 9591 : 1 , 9592 : 1 , 9593 : 1 , 9594 : 1 , 9595 : 1 , 9596 : 1 , 9597 : 1 , 9598 : 1 , 9599 : 1 , 9600 : 1 , 9601 : 1 , 9602 : 1 , 9603 : 1 , 9604 : 1 , 9605 : 1 , 9606 : 1 , 9607 : 1 , 9608 : 1 , 9609 : 1 , 9610 : 1 , 9611 : 1 , 9612 : 1 , 9613 : 1 , 9614 : 1 , 9615 : 1 , 9616 : 1 , 9617 : 1 , 9618 : 1 , 9619 : 1 , 9620 : 1 , 9621 : 1 , 9622 : 1 , 9623 : 1 , 9624 : 1 , 9625 : 1 , 9626 : 1 , 9627 : 1 , 9628 : 1 , 9629 : 1 , 9630 : 1 , 9631 : 1 , 9632 : 1 , 9633 : 1 , 9634 : 1 , 9635 : 1 , 9636 : 1 , 9637 : 1 , 9638 : 1 , 9639 : 1 , 9640 : 1 , 9641 : 1 , 9642 : 1 , 9643 : 1 , 9644 : 1 , 9645 : 1 , 9646 : 1 , 9647 : 1 , 9648 : 1 , 9649 : 1 , 9650 : 1 , 9651 : 1 , 9652 : 1 , 9653 : 1 , 9654 : 1 , 9655 : 1 , 9656 : 1 , 9657 : 1 , 9658 : 1 , 9659 : 1 , 9660 : 1 , 9661 : 1 , 9662 : 1 , 9663 : 1 , 9664 : 1 , 9665 : 1 , 9666 : 1 , 9667 : 1 , 9668 : 1 , 9669 : 1 , 9670 : 1 , 9671 : 1 , 9672 : 1 , 9673 : 1 , 9674 : 1 , 9675 : 1 , 9676 : 1 , 9677 : 1 , 9678 : 1 , 9679 : 1 , 9680 : 1 , 9681 : 1 , 9682 : 1 , 9683 : 1 , 9684 : 1 , 9685 : 1 , 9686 : 1 , 9687 : 1 , 9688 : 1 , 9689 : 1 , 9690 : 1 , 9691 : 1 , 9692 : 1 , 9693 : 1 , 9694 : 1 , 9695 : 1 , 9696 : 1 , 9697 : 1 , 9698 : 1 , 9699 : 1 , 9700 : 1 , 9701 : 1 , } 
25.0 {9021 : 1 , 9250 : 1 , } 
25.16 {9351 : 1 , } 
25.18 {9700 : 1 , } 
25.2 {9366 : 1 , 9519 : 1 , } 
25.4 {9352 : 1 , } 
25.5 {9519 : 1 , 9552 : 1 , } 
25.57 {9181 : 1 , } 
25.6 {9034 : 1 , } 
25.7 {9229 : 1 , } 
25.75 {9127 : 1 , } 
25.94 {9127 : 1 , } 
250 {9170 : 1 , 9261 : 2 , 9298 : 1 , 9299 : 1 , 9320 : 1 , 9323 : 1 , } 
250,000 {9069 : 1 , 9205 : 1 , } 
251,300 {9639 : 1 , } 
254 {9607 : 1 , } 
255,568 {9566 : 1 , 9611 : 1 , } 
255.56 {9171 : 1 , } 
256,600 {9201 : 1 , } 
258,125 {9312 : 1 , 9330 : 1 , 9390 : 1 , } 
258.34 {9171 : 1 , } 
258.7 {9576 : 1 , } 
